Name,Executable_Name
"Tomb Raider","tombraider.exe"
"The Binding of Isaac","binding_of_isaac.exe"
"The Binding of Isaac","isaac.app"
"The Binding of Isaac","isaac.exe"
"We Were Here","we were here.exe"
"This War of Mine","this war of mine.exe"
"Hotline Miami 2: Wrong Number","hotlinemiami2.exe"
"Wulverblade","wulverblade.exe"
"Hand Simulator","hand simulator.exe"
"Kingdom Come: Deliverance","kingdomcome.exe"
"DRAGON BALL FighterZ","dbfighterz.exe"
"BATTALION 1944","battalion.exe"
"World of Tanks Blitz","wotblitz.exe"
"던전앤파이터","dnf.exe"
"DARK SOULS™: Prepare To Die Edition","darksouls.exe "
"Total War Arena","arena.exe"
"Doki Doki Literature Club","ddlc.exe"
"Doki Doki Literature Club","doki doki literature club.app"
"Borderlands 2","borderlands2.exe"
"Forsaken Remastered","selkis_x64.exe"
"SoulWorker","soulworker.exe"
"Hunt: Showdown","hunt.exe"
"Warframe","warframe.exe"
"Warframe","warframe.x64.exe"
"Warcraft III","war3.exe"
"Warcraft III","warcraft iii.app"
"Warcraft III","warcraft iii.exe"
"Warcraft III","frozen throne.exe"
"Warcraft III","wc3.exe"
"Bastion","bastion.exe"
"Assassin's Creed Chronicles China","accgame-win32-shipping.exe"
"Assassin's Creed","assassinscreed_dx10.exe"
"Assassin's Creed II","assassinscreediigame.exe"
"Assassin's Creed III","ac3mp.exe"
"Assassin's Creed III","ac3sp.exe"
"Assassin's Creed Rogue","acc.exe"
"Assassin's Creed Unity","acu.exe"
"Assassin's Creed Brotherhood","acbmp.exe"
"Assassin's Creed Brotherhood","acbsp.exe"
"Assassin's Creed Revelations","acrsp.exe"
"Batman: Arkham Knight","batmanak.exe"
"Batman: Arkham Origins","batmanorigins.exe"
"Batman: Arkham VR","arkhamvr.exe"
"Beyond Good and Evil","bge.exe"
"F.E.A.R.","fear.exe"
"F.E.A.R.","fearxp.exe"
"F.E.A.R. 2: Project Origin","fear2.exe"
"F.E.A.R. 3","f.e.a.r. 3.exe"
"Far Cry","farcry.exe"
"Far Cry 2","farcry2.exe"
"Far Cry 4","farcry4.exe"
"Far Cry Primal","fcprimal.exe"
"For Honor","forhonor.exe"
"Injustice: Gods Among Us Ultimate Edition","injustice.exe"
"Just Dance 2017","jd2017.exe"
"LEGO® The Hobbit™","legohobbit.exe"
"LEGO® Worlds","lego_worlds_dx11.exe"
"Mad Max","madmax.exe"
"Mortal Kombat Komplete Edition","mkke.exe"
"Mortal Kombat X","mk10.exe"
"Rayman Legends","rayman legends.exe"
"Rayman Origins","rayman origins.exe"
"Rocksmith 2014","rocksmith2014.exe"
"Scribblenauts Unlimited","scribble.exe"
"Steep","steep.exe"
"The Crew","thecrew.exe"
"The LEGO® Movie - Videogame","legoemmet.exe"
"Tom Clancy's Ghost Recon Future Soldier","future soldier dx11.exe"
"Tom Clancy's Ghost Recon Future Soldier","future soldier.exe"
"Tom Clancy's Splinter Cell","splintercell.exe"
"Tom Clancy's Splinter Cell Blacklist","blacklist_dx11_game.exe"
"Trackmania Turbo","trackmaniaturbo.exe"
"Trials Fusion","trials_fusion.exe"
"Watch_Dogs","watch_dogs.exe"
"Watch_Dogs 2","watchdogs2.exe"
"Darksiders Warmastered Edition","darksiders1.exe"
"Darksiders Warmastered Edition","darksiderspc.exe"
"ELEX","elex.exe"
"Fade to Silence","whitesilence-win64-shipping.exe"
"Impossible Creatures","ic.exe"
